Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C8, C9",0402,15,100n,
C2,1206,1,22uF,
"C44, C45, C46, C47, C48, C49, C50, C51",0603,8,4u7F,
D1,D_SOD-123,1,1N4148W,
D6,0805,1,C2290,
"FB1, FB2",0402,2,BLM15H,
"H1, H2, H3, H4",MountingHole_2.7mm_M2.5_uHAT_RPi,4,MountingHole,
J1,PinSocket_2x20_P2.54mm_Vertical_Centered_Anchor,1,GPIO_CONNECTOR,
"J2, J4",PinHeader_2x03_P2.54mm_Vertical,2,Conn_02x03_Odd_Even,
J3,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
LED2,LED-ARRAY-SMD_MHS110RGBCT,1,MHS110RGBCT,C389528
OSC1,OSC-SMD_4P-L3.2-W2.5-BL,1,OT2EL89CJI-111YLC-12M,C5280582
"R1, R17, R6, R7, R8, R9",0402,6,10k,
"R10, R11, R12, R13, R14, R15, R16, R2, R5",0402,9,27R,
"R18, R19, R20",0402,3,1k,
R24,0603,1,2k2,
R25,0603,1,1k5,
"R3, R4",0402,2,68R,
"R43, R44",0603,2,3k9,
R45,0603,1,100,
"R57, R58",0603,2,5k1,
SW1,SW-SMD_TS24CA,1,TS24CA,C393942
"U1, U6",OPTO-TH_PLR237-T10BK,2,PLR237/T10BK,C17427482
U10,SOT-23-6,1,USBLC6-2SC6,
U2,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,1,LR8103A-T12,C7501644
U4,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q32JVSSIQ,
U5,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,1,24LC256T-I/SN,C5458
U8,QFN-48_L7.0-W7.0-P0.50-TL-EP5.4-1,1,ICE40UP5K-SG48I,C2678152
USBC1,USB-C-SMD_C67380,1,FUC-24F11-SNLB1,C67380
X1,OSC-SMD_4P-L2.5-W2.0-BL,1,1651-24575-BTBEYA,C3003263
